['type1', 'type2', '0']
['adjective', 'verb masculine', 3]
['noun', 'adjective particle', 2]
['nonetype', 'pronoun feminine', 2]
['noun', 'noun masculine neuter', '0']
['adposition', 'interjection', 7]
['adposition', 'conjunction noun adverb', 3]
['adverb', 'conjunction noun adverb', '0']
['adverb', 'numeral', 7]
['proper', 'adjective noun', 6]
['nonetype', 'pronoun interjection', 2]
['numeral', 'noun masculine', '0']
['pronoun', 'pronoun masculine', 7]
['adjective', 'pronoun masculine', 3]
['verb', "verb ubivxe1t'", '0']
['proper', 'noun p', 1]
['verb', 'verb interjection', 4]
['adjective', 'verb interjection', 4]
['conjunction', 'letter conjunction noun', 3]
['noun', 'letter noun adposition', 1]
['proper masculine', 'proper masculine', '0']
['proper', 'noun adjective feminine', 1]
['nonetype', 'conjunction noun adverb', 2]
['cardinal number', 'numeral masculine', 3]
['noun p', 'noun neuter', 1]
['pronoun', 'noun verb', 1]
['determiner', 'noun verb', 1]
['cardinal number', 'cardinal number feminine', 5]
['interjection', 'conjunction', 2]
['numeral', 'numeral neuter', '0']
['numeral', 'noun neuter', '0']
